station,time,day,geometry
common,8.4,Tuesday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,9,Tuesday,"POINT(39.32553391636762, -82.10134322924043)"
common,10.1,Tuesday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,10.3,Tuesday,"POINT(39.32553391636762, -82.10134322924043)"
common,11.4,Tuesday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,12,Tuesday,"POINT(39.32553391636762, -82.10134322924043)"
common,13.1,Tuesday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,13.2,Tuesday,"POINT(39.32553391636762, -82.10134322924043)"
common,14.45,Tuesday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,15.05,Tuesday,"POINT(39.32553391636762, -82.10134322924043)"
common,16.15,Tuesday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,16.35,Tuesday,"POINT(39.32553391636762, -82.10134322924043)"
common,17.45,Tuesday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,18.05,Tuesday,"POINT(39.32553391636762, -82.10134322924043)"
common,19.15,Tuesday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,19.35,Tuesday,"POINT(39.32553391636762, -82.10134322924043)"
common,20.45,Tuesday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,21.05,Tuesday,"POINT(39.32553391636762, -82.10134322924043)"
common,7.1,Wednesday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,7.2,Wednesday,"POINT(39.32553391636762, -82.10134322924043)"
common,8.15,Wednesday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,8.35,Wednesday,"POINT(39.32553391636762, -82.10134322924043)"
common,9.2,Wednesday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,9.4,Wednesday,"POINT(39.32553391636762, -82.10134322924043)"
common,10.25,Wednesday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,10.45,Wednesday,"POINT(39.32553391636762, -82.10134322924043)"
common,11.3,Wednesday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,11.5,Wednesday,"POINT(39.32553391636762, -82.10134322924043)"
common,12.35,Wednesday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,12.55,Wednesday,"POINT(39.32553391636762, -82.10134322924043)"
common,13.4,Wednesday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,14,Wednesday,"POINT(39.32553391636762, -82.10134322924043)"
common,14.45,Wednesday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,15.05,Wednesday,"POINT(39.32553391636762, -82.10134322924043)"
common,15.5,Wednesday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,16.1,Wednesday,"POINT(39.32553391636762, -82.10134322924043)"
common,16.55,Wednesday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,17.15,Wednesday,"POINT(39.32553391636762, -82.10134322924043)"
common,18,Wednesday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,18.2,Wednesday,"POINT(39.32553391636762, -82.10134322924043)"
common,19.3,Wednesday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,19.5,Wednesday,"POINT(39.32553391636762, -82.10134322924043)"
common,21,Wednesday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,21.2,Wednesday,"POINT(39.32553391636762, -82.10134322924043)"
common,7.1,Thursday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,7.2,Thursday,"POINT(39.32553391636762, -82.10134322924043)"
common,8.4,Thursday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,9,Thursday,"POINT(39.32553391636762, -82.10134322924043)"
common,10.1,Thursday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,10.3,Thursday,"POINT(39.32553391636762, -82.10134322924043)"
common,11.4,Thursday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,12,Thursday,"POINT(39.32553391636762, -82.10134322924043)"
common,13.1,Thursday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,13.2,Thursday,"POINT(39.32553391636762, -82.10134322924043)"
common,14.45,Thursday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,15.05,Thursday,"POINT(39.32553391636762, -82.10134322924043)"
common,16.15,Thursday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,16.35,Thursday,"POINT(39.32553391636762, -82.10134322924043)"
common,17.45,Thursday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,18.05,Thursday,"POINT(39.32553391636762, -82.10134322924043)"
common,19.15,Thursday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,19.35,Thursday,"POINT(39.32553391636762, -82.10134322924043)"
common,20.45,Thursday,"POINT(39.332363777163295, -82.1107700317955)"
Baker,21.05,Thursday,"POINT(39.32553391636762, -82.10134322924043)"
